Fantome;Source (MeV);Angle (degres);Pastille 1;Pastille 2;Pastille 3;Pastille 4;Pastille 5;Pastille 6;Moyenne r‚elle (barns);Ecart type r‚el
M1E;3;180;1,00E+00;2,13E-01;7,97E-01;4,24E-01;0,00E+00;5,26E-02;4,84E-07;4,29E-07
M1E;8;300;0,00E+00;4,34E-01;9,86E-01;9,70E-01;1,00E+00;8,68E-01;2,31E-06;1,03E-06
M1C;4;75;9,85E-01;9,76E-01;0,00E+00;9,71E-02;9,52E-01;1,00E+00;1,41E-06;8,28E-07
M1E;5;240;9,99E-01;9,83E-01;1,00E+00;9,79E-01;3,68E-01;0,00E+00;1,84E-06;9,38E-07
M1E;4;15;1,97E-01;0,00E+00;2,37E-02;9,93E-01;4,44E-01;1,00E+00;9,19E-07;8,38E-07
M1A;3;300;0,00E+00;9,00E-01;9,74E-01;1,00E+00;9,51E-01;2,21E-01;8,39E-07;4,44E-07
M1E;3;315;0,00E+00;9,34E-02;1,00E+00;9,87E-01;1,00E+00;3,25E-01;6,74E-07;5,10E-07
M1A;6;330;0,00E+00;1,36E-01;7,78E-01;1,00E+00;5,36E-01;3,62E-01;1,57E-06;8,46E-07
M1E;5;345;6,78E-03;0,00E+00;1,00E+00;9,61E-01;5,78E-01;9,76E-01;1,48E-06;1,04E-06
M1A;6;255;1,53E-01;8,88E-01;1,00E+00;9,45E-01;9,69E-01;0,00E+00;2,13E-06;9,13E-07
M1C;10;285;0,00E+00;1,00E+00;9,10E-01;9,33E-01;8,96E-01;2,50E-01;2,60E-06;8,72E-07
M1E;10;75;9,42E-01;1,00E+00;0,00E+00;1,43E-01;9,60E-01;9,51E-01;2,35E-06;1,23E-06
M1C;15;165;1,00E+00;9,98E-01;6,70E-01;8,55E-02;0,00E+00;7,42E-01;1,34E-06;5,71E-07
M1C;6;15;4,71E-01;0,00E+00;4,35E-02;2,76E-01;1,00E+00;9,71E-01;1,46E-06;1,11E-06
M1E;10;345;8,06E-03;0,00E+00;1,00E+00;9,30E-01;6,28E-01;9,65E-01;2,06E-06;1,26E-06
M1A;3;345;1,70E-02;0,00E+00;9,40E-01;1,00E+00;2,95E-01;9,38E-01;6,46E-07;4,97E-07
M1E;20;90;5,98E-01;9,73E-01;1,26E-03;0,00E+00;1,00E+00;6,22E-01;8,04E-07;2,07E-07
M1A;20;315;0,00E+00;7,65E-01;1,00E+00;7,40E-01;8,48E-01;9,72E-01;9,00E-07;1,12E-07
M1C;9;105;9,81E-01;9,12E-01;1,31E-01;0,00E+00;1,00E+00;9,63E-01;2,44E-06;1,04E-06
M1E;5;330;0,00E+00;7,92E-02;9,65E-01;9,58E-01;1,00E+00;3,34E-01;1,47E-06;1,07E-06
M1C;5;210;6,45E-01;3,73E-01;1,00E+00;8,25E-01;1,26E-01;0,00E+00;1,33E-06;8,53E-07
M1C;20;300;0,00E+00;1,00E+00;5,47E-01;3,52E-01;5,03E-01;7,87E-01;9,53E-07;1,29E-07
M1A;10;360;3,66E-01;0,00E+00;1,00E+00;9,05E-01;9,93E-01;9,91E-01;2,39E-06;1,06E-06
M1C;4;210;5,75E-01;2,90E-01;1,00E+00;7,95E-01;8,18E-02;0,00E+00;9,89E-07;7,43E-07
M1A;7;15;9,87E-01;0,00E+00;1,83E-01;3,84E-01;1,00E+00;9,84E-01;1,94E-06;1,04E-06
M1A;3;315;0,00E+00;3,63E-01;9,35E-01;1,00E+00;9,97E-01;6,29E-01;8,00E-07;4,15E-07
M1E;7;15;3,62E-01;0,00E+00;6,49E-02;1,00E+00;5,76E-01;9,78E-01;1,58E-06;1,09E-06
M1A;10;345;4,34E-02;0,00E+00;9,84E-01;1,00E+00;4,11E-01;9,58E-01;2,10E-06;1,12E-06
M1E;15;360;2,62E-01;0,00E+00;7,41E-01;9,29E-01;4,41E-01;1,00E+00;1,22E-06;6,06E-07
M1C;20;285;0,00E+00;1,00E+00;3,47E-01;2,73E-01;5,82E-01;2,69E-01;9,12E-07;1,13E-07
M1E;7;105;9,63E-01;9,39E-01;1,01E-01;0,00E+00;1,00E+00;9,56E-01;2,10E-06;1,19E-06
M1A;8;180;1,00E+00;9,87E-01;5,81E-01;1,82E-01;0,00E+00;5,39E-01;1,88E-06;1,01E-06
M1A;7;45;9,40E-01;6,41E-01;0,00E+00;1,00E+00;9,57E-01;9,55E-01;2,41E-06;8,26E-07
M1C;20;150;5,87E-01;6,49E-01;1,00E+00;0,00E+00;3,95E-02;8,52E-01;8,35E-07;2,45E-07
M1A;6;195;9,50E-01;4,65E-01;1,00E+00;9,81E-01;0,00E+00;5,70E-02;1,78E-06;1,10E-06
M1A;20;240;4,07E-01;3,98E-01;2,78E-01;4,43E-01;1,00E+00;0,00E+00;9,10E-07;9,99E-08
M1C;9;210;7,30E-01;4,49E-01;1,00E+00;8,76E-01;1,84E-01;0,00E+00;1,94E-06;9,99E-07
M1C;20;270;3,38E-01;1,00E+00;5,03E-01;5,03E-01;8,10E-01;0,00E+00;8,80E-07;4,47E-08
M1C;7;195;9,77E-01;7,22E-01;1,00E+00;9,94E-01;0,00E+00;3,83E-03;1,97E-06;1,18E-06
M1C;15;225;3,85E-01;4,66E-01;9,57E-01;1,00E+00;5,14E-01;0,00E+00;1,38E-06;4,14E-07
M1A;3;240;2,42E-01;9,92E-01;1,00E+00;9,62E-01;7,97E-01;0,00E+00;8,10E-07;4,30E-07
M1A;6;45;9,27E-01;6,08E-01;0,00E+00;9,89E-01;9,92E-01;1,00E+00;2,25E-06;8,70E-07
M1E;8;330;0,00E+00;1,22E-01;9,71E-01;9,43E-01;1,00E+00;3,86E-01;1,95E-06;1,23E-06
M1A;8;255;2,09E-01;8,86E-01;9,42E-01;9,35E-01;1,00E+00;0,00E+00;2,41E-06;8,53E-07
M1A;9;345;4,14E-02;0,00E+00;9,81E-01;1,00E+00;4,08E-01;9,56E-01;2,06E-06;1,13E-06
M1A;8;300;0,00E+00;9,61E-01;1,00E+00;9,61E-01;9,36E-01;3,67E-01;2,47E-06;8,70E-07
M1E;4;285;0,00E+00;9,29E-01;9,94E-01;1,00E+00;9,43E-01;6,40E-02;1,38E-06;8,79E-07
M1A;5;285;0,00E+00;8,98E-01;9,93E-01;1,00E+00;9,47E-01;1,47E-01;1,87E-06;8,29E-07
M1C;10;180;9,94E-01;1,00E+00;5,08E-01;3,93E-01;0,00E+00;1,82E-01;1,82E-06;1,10E-06
M1C;8;120;1,00E+00;9,57E-01;2,59E-01;0,00E+00;7,42E-01;9,91E-01;2,22E-06;9,79E-07
M1C;10;90;1,00E+00;8,31E-01;1,78E-03;0,00E+00;7,43E-01;9,82E-01;2,31E-06;8,80E-07
M1C;4;180;9,63E-01;1,00E+00;3,11E-01;2,04E-01;0,00E+00;5,91E-02;9,13E-07;8,50E-07
M1A;7;255;1,88E-01;9,14E-01;9,95E-01;9,79E-01;1,00E+00;0,00E+00;2,29E-06;8,34E-07
M1C;20;75;4,59E-01;1,00E+00;0,00E+00;2,02E-01;7,38E-01;4,07E-01;8,65E-07;1,21E-07
M1A;15;30;9,33E-01;2,53E-02;0,00E+00;9,34E-01;1,00E+00;9,60E-01;1,54E-06;5,06E-07
M1A;6;225;8,82E-01;9,98E-01;1,00E+00;8,98E-01;3,97E-01;0,00E+00;2,15E-06;9,23E-07
M1A;15;120;9,57E-01;9,78E-01;4,03E-01;0,00E+00;8,19E-01;1,00E+00;1,59E-06;3,22E-07
M1A;6;315;0,00E+00;4,35E-01;9,58E-01;9,77E-01;1,00E+00;6,82E-01;2,12E-06;8,80E-07
M1A;7;180;1,00E+00;9,89E-01;6,09E-01;2,01E-01;0,00E+00;5,51E-01;1,81E-06;9,68E-07
M1C;3;15;3,73E-01;0,00E+00;2,18E-02;1,94E-01;1,00E+00;9,77E-01;5,20E-07;4,85E-07
M1E;10;90;9,73E-01;9,10E-01;0,00E+00;1,09E-02;9,21E-01;1,00E+00;2,19E-06;1,17E-06
M1E;6;315;0,00E+00;1,87E-01;9,86E-01;9,72E-01;1,00E+00;4,34E-01;1,79E-06;1,13E-06
M1E;6;210;3,88E-01;1,00E+00;9,62E-01;9,73E-01;8,93E-02;0,00E+00;1,71E-06;1,18E-06
M1C;3;360;5,89E-02;0,00E+00;7,15E-01;9,95E-01;7,13E-01;1,00E+00;6,74E-07;4,64E-07
M1C;6;180;9,59E-01;1,00E+00;4,11E-01;2,84E-01;0,00E+00;1,11E-01;1,42E-06;1,08E-06
M1A;15;165;8,73E-01;8,79E-01;8,65E-01;2,47E-02;0,00E+00;1,00E+00;1,55E-06;5,93E-07
M1C;6;315;0,00E+00;3,61E-01;9,19E-01;9,52E-01;1,00E+00;5,19E-01;1,97E-06;9,67E-07
M1A;6;270;2,13E-02;7,68E-01;1,00E+00;9,62E-01;7,99E-01;0,00E+00;2,03E-06;8,79E-07
M1C;15;210;7,93E-01;4,32E-01;1,00E+00;9,14E-01;2,49E-01;0,00E+00;1,37E-06;5,38E-07
M1A;5;345;2,17E-02;0,00E+00;9,59E-01;1,00E+00;3,72E-01;9,56E-01;1,50E-06;9,97E-07
M1C;15;60;9,82E-01;1,00E+00;0,00E+00;4,68E-01;9,68E-01;9,44E-01;1,64E-06;4,28E-07
M1A;3;180;9,77E-01;1,00E+00;4,63E-01;1,11E-01;0,00E+00;4,21E-01;5,96E-07;4,43E-07
M1C;7;300;0,00E+00;9,46E-01;1,00E+00;9,76E-01;9,47E-01;7,07E-01;2,44E-06;8,18E-07
M1C;5;330;0,00E+00;1,30E-01;8,35E-01;1,00E+00;4,87E-01;3,51E-01;1,26E-06;8,31E-07
M1A;7;210;3,47E-01;4,41E-01;1,00E+00;8,55E-01;1,94E-01;0,00E+00;1,70E-06;8,81E-07
M1E;10;285;0,00E+00;1,00E+00;9,68E-01;9,78E-01;9,91E-01;1,49E-01;2,38E-06;1,14E-06
M1C;10;240;3,91E-01;1,00E+00;9,90E-01;9,34E-01;8,96E-01;0,00E+00;2,55E-06;8,73E-07
M1E;10;165;9,51E-01;4,75E-01;1,00E+00;3,84E-02;0,00E+00;3,48E-01;1,71E-06;1,15E-06
M1E;6;195;9,83E-01;5,41E-01;9,91E-01;1,00E+00;0,00E+00;1,63E-02;1,69E-06;1,17E-06
M1E;5;180;1,00E+00;3,32E-01;8,50E-01;5,05E-01;0,00E+00;1,16E-01;1,18E-06;8,84E-07
M1A;3;330;0,00E+00;9,09E-02;7,41E-01;1,00E+00;4,71E-01;3,04E-01;5,44E-07;3,94E-07
M1C;15;285;0,00E+00;1,00E+00;7,71E-01;7,65E-01;7,89E-01;2,23E-01;1,72E-06;3,96E-07
M1E;4;270;1,10E-02;8,25E-01;1,00E+00;9,91E-01;8,18E-01;0,00E+00;1,29E-06;8,45E-07
M1A;15;270;1,18E-01;9,38E-01;9,74E-01;9,69E-01;1,00E+00;0,00E+00;1,64E-06;3,13E-07
M1C;9;360;1,86E-01;0,00E+00;8,03E-01;9,97E-01;8,06E-01;1,00E+00;2,09E-06;1,14E-06
M1A;9;195;9,45E-01;5,01E-01;9,81E-01;1,00E+00;0,00E+00;8,25E-02;2,13E-06;1,13E-06
M1C;3;225;1,81E-01;3,61E-01;1,00E+00;9,25E-01;2,37E-01;0,00E+00;5,54E-07;4,32E-07
M1A;6;15;9,51E-01;0,00E+00;1,42E-01;3,39E-01;1,00E+00;9,66E-01;1,76E-06;1,09E-06
M1C;8;90;1,00E+00;7,83E-01;5,78E-04;0,00E+00;7,29E-01;9,95E-01;2,15E-06;9,02E-07
M1C;6;285;0,00E+00;9,74E-01;9,86E-01;1,00E+00;9,24E-01;2,35E-01;2,16E-06;9,38E-07
M1C;7;150;1,00E+00;9,96E-01;9,32E-01;0,00E+00;5,32E-02;8,89E-01;2,06E-06;1,13E-06
M1A;5;90;9,92E-01;7,34E-01;0,00E+00;4,34E-02;8,08E-01;1,00E+00;1,73E-06;7,98E-07
M1C;8;225;3,19E-01;4,83E-01;1,00E+00;9,51E-01;4,13E-01;0,00E+00;1,85E-06;8,74E-07
M1C;9;165;9,92E-01;1,00E+00;5,53E-01;6,02E-02;0,00E+00;6,45E-01;1,92E-06;1,10E-06
M1C;3;75;9,81E-01;9,39E-01;0,00E+00;8,29E-02;9,40E-01;1,00E+00;7,86E-07;4,83E-07
M1E;10;105;9,20E-01;9,46E-01;1,19E-01;0,00E+00;1,00E+00;9,31E-01;2,33E-06;1,23E-06
M1C;20;90;7,74E-01;1,00E+00;2,08E-01;0,00E+00;8,87E-01;6,03E-01;8,49E-07;6,66E-08
M1A;4;105;1,00E+00;9,23E-01;7,90E-02;0,00E+00;9,85E-01;9,49E-01;1,44E-06;7,82E-07
M1C;7;45;9,28E-01;2,87E-01;0,00E+00;1,00E+00;9,97E-01;9,66E-01;2,22E-06;9,88E-07
M1C;6;210;6,48E-01;3,87E-01;1,00E+00;8,23E-01;1,35E-01;0,00E+00;1,56E-06;9,61E-07
M1C;4;105;1,00E+00;9,41E-01;6,57E-02;0,00E+00;9,73E-01;9,91E-01;1,42E-06;8,48E-07
M1C;10;165;9,93E-01;1,00E+00;5,59E-01;5,55E-02;0,00E+00;6,47E-01;1,97E-06;1,09E-06
M1E;7;270;9,71E-03;8,55E-01;1,00E+00;9,89E-01;8,90E-01;0,00E+00;2,03E-06;1,11E-06
M1E;9;240;1,00E+00;9,72E-01;9,58E-01;9,30E-01;4,50E-01;0,00E+00;2,45E-06;1,07E-06
M1A;9;285;0,00E+00;9,42E-01;9,91E-01;1,00E+00;9,60E-01;1,67E-01;2,54E-06;8,54E-07
M1C;8;150;9,94E-01;1,00E+00;9,39E-01;0,00E+00;4,81E-02;8,85E-01;2,14E-06;1,16E-06
M1E;3;75;9,93E-01;9,61E-01;0,00E+00;3,94E-02;9,55E-01;1,00E+00;7,72E-07;5,20E-07
M1A;6;240;3,18E-01;9,97E-01;1,00E+00;9,43E-01;8,38E-01;0,00E+00;2,14E-06;8,74E-07
M1A;6;210;2,97E-01;3,94E-01;1,00E+00;8,33E-01;1,55E-01;0,00E+00;1,48E-06;9,27E-07
M1E;3;165;1,00E+00;2,89E-01;9,75E-01;1,51E-02;0,00E+00;1,50E-01;4,74E-07;4,82E-07
M1E;6;165;9,89E-01;4,20E-01;1,00E+00;3,00E-02;0,00E+00;2,47E-01;1,34E-06;1,11E-06
M1E;8;90;9,75E-01;8,63E-01;0,00E+00;7,55E-03;8,62E-01;1,00E+00;2,02E-06;1,15E-06
M1E;6;270;1,51E-02;8,45E-01;1,00E+00;9,81E-01;8,60E-01;0,00E+00;1,90E-06;1,13E-06
M1E;7;75;9,81E-01;1,00E+00;0,00E+00;1,37E-01;9,87E-01;9,88E-01;2,10E-06;1,17E-06
M1E;15;15;4,23E-01;0,00E+00;6,81E-02;1,00E+00;5,73E-01;8,81E-01;1,22E-06;6,27E-07
M1E;3;285;0,00E+00;9,08E-01;9,89E-01;1,00E+00;9,34E-01;5,63E-02;7,76E-07;5,06E-07
M1A;4;285;0,00E+00;9,39E-01;1,00E+00;9,83E-01;9,39E-01;1,12E-01;1,48E-06;7,77E-07
M1E;5;315;0,00E+00;1,76E-01;9,84E-01;9,79E-01;1,00E+00;4,30E-01;1,54E-06;1,00E-06
M1E;20;330;0,00E+00;3,03E-01;1,00E+00;7,81E-01;8,91E-01;4,30E-01;7,80E-07;2,51E-07
M1E;4;90;9,93E-01;8,24E-01;0,00E+00;4,60E-03;7,91E-01;1,00E+00;1,25E-06;8,49E-07
M1A;4;210;2,47E-01;3,22E-01;1,00E+00;7,90E-01;1,00E-01;0,00E+00;9,16E-07;7,27E-07
M1E;5;75;9,89E-01;9,83E-01;0,00E+00;9,31E-02;9,74E-01;1,00E+00;1,70E-06;1,06E-06
M1C;9;30;8,98E-01;3,05E-02;0,00E+00;9,14E-01;1,00E+00;9,79E-01;2,21E-06;1,15E-06
M1C;20;345;0,00E+00;5,31E-02;1,00E+00;7,83E-01;3,23E-01;8,06E-01;7,37E-07;2,74E-07
M1A;4;240;2,60E-01;9,89E-01;1,00E+00;9,52E-01;8,12E-01;0,00E+00;1,46E-06;7,32E-07
M1A;8;315;0,00E+00;4,69E-01;9,24E-01;9,72E-01;1,00E+00;7,24E-01;2,39E-06;8,65E-07
M1E;15;315;0,00E+00;3,45E-01;9,93E-01;9,22E-01;1,00E+00;5,93E-01;1,44E-06;5,84E-07
M1E;20;240;1,00E+00;9,16E-01;6,12E-01;6,67E-01;6,11E-01;0,00E+00;8,87E-07;2,24E-07
M1C;4;360;6,33E-02;0,00E+00;6,97E-01;9,81E-01;7,15E-01;1,00E+00;1,19E-06;8,14E-07
M1E;3;300;0,00E+00;2,41E-01;1,00E+00;9,89E-01;9,81E-01;7,28E-01;7,82E-07;4,58E-07
M1A;9;255;2,06E-01;8,88E-01;9,44E-01;9,44E-01;1,00E+00;0,00E+00;2,50E-06;8,67E-07
M1E;20;345;0,00E+00;3,01E-02;1,00E+00;7,80E-01;5,45E-01;8,39E-01;7,54E-07;2,83E-07
M1C;7;165;9,85E-01;1,00E+00;5,26E-01;5,20E-02;0,00E+00;6,17E-01;1,75E-06;1,05E-06
M1A;15;45;7,73E-01;6,14E-01;0,00E+00;1,00E+00;7,85E-01;7,14E-01;1,71E-06;4,01E-07
M1A;5;150;9,88E-01;1,00E+00;8,43E-01;0,00E+00;6,06E-02;7,78E-01;1,63E-06;9,09E-07
M1A;4;165;9,85E-01;1,00E+00;7,64E-01;7,80E-03;0,00E+00;9,60E-01;1,33E-06;8,76E-07
M1E;7;120;9,86E-01;1,00E+00;2,26E-01;0,00E+00;2,79E-01;9,80E-01;1,83E-06;1,14E-06
M1E;20;150;7,82E-01;9,43E-01;2,71E-01;2,62E-02;0,00E+00;1,00E+00;7,36E-07;2,44E-07
M1A;20;300;0,00E+00;1,00E+00;5,16E-01;3,37E-01;4,49E-01;4,05E-01;9,04E-07;9,70E-08
M1C;8;165;9,92E-01;1,00E+00;5,29E-01;4,99E-02;0,00E+00;6,26E-01;1,83E-06;1,10E-06
M1C;4;240;2,21E-01;9,89E-01;1,00E+00;9,61E-01;8,46E-01;0,00E+00;1,45E-06;7,74E-07
M1A;6;165;9,89E-01;1,00E+00;8,18E-01;1,93E-02;0,00E+00;9,68E-01;1,95E-06;1,12E-06
M1E;7;225;4,12E-01;1,00E+00;9,66E-01;9,56E-01;2,44E-01;0,00E+00;1,92E-06;1,13E-06
M1A;9;60;9,76E-01;1,00E+00;0,00E+00;5,29E-01;9,42E-01;9,29E-01;2,58E-06;8,46E-07
M1E;4;150;1,00E+00;9,85E-01;1,00E-01;6,04E-05;0,00E+00;8,33E-01;1,01E-06;9,06E-07
M1C;3;315;0,00E+00;2,80E-01;9,28E-01;9,87E-01;1,00E+00;4,27E-01;7,33E-07;4,50E-07
M1E;4;360;5,95E-02;0,00E+00;4,38E-01;8,13E-01;2,28E-01;1,00E+00;8,70E-07;7,51E-07
M1A;20;180;1,00E+00;8,54E-01;6,57E-01;1,99E-01;0,00E+00;7,00E-01;7,22E-07;1,88E-07
M1E;3;135;9,84E-01;1,00E+00;1,59E-01;0,00E+00;1,86E-02;9,37E-01;6,18E-07;5,36E-07
M1C;9;120;1,00E+00;9,53E-01;2,56E-01;0,00E+00;7,50E-01;9,81E-01;2,32E-06;9,87E-07
M1E;5;120;1,00E+00;9,98E-01;1,53E-01;0,00E+00;2,20E-01;9,89E-01;1,44E-06;1,05E-06
M1C;3;30;7,99E-01;1,08E-02;0,00E+00;8,10E-01;9,94E-01;1,00E+00;7,20E-07;4,90E-07
M1E;5;195;9,87E-01;5,26E-01;9,91E-01;1,00E+00;0,00E+00;1,25E-02;1,45E-06;1,03E-06
M1A;20;345;3,08E-02;0,00E+00;1,00E+00;7,52E-01;1,78E-01;8,10E-01;7,48E-07;2,40E-07
M1E;8;225;3,84E-01;1,00E+00;9,50E-01;9,50E-01;2,41E-01;0,00E+00;1,99E-06;1,17E-06
M1C;4;285;0,00E+00;9,61E-01;9,94E-01;1,00E+00;9,13E-01;1,79E-01;1,47E-06;7,87E-07
M1C;5;315;0,00E+00;3,58E-01;9,29E-01;9,66E-01;1,00E+00;5,19E-01;1,70E-06;8,64E-07
M1C;8;210;7,04E-01;4,30E-01;1,00E+00;8,34E-01;1,70E-01;0,00E+00;1,82E-06;9,73E-07
M1C;3;300;0,00E+00;9,33E-01;9,87E-01;1,00E+00;9,77E-01;5,80E-01;8,95E-07;4,06E-07
M1C;3;240;2,05E-01;9,95E-01;1,00E+00;9,64E-01;8,32E-01;0,00E+00;8,09E-07;4,51E-07
M1E;6;30;8,06E-01;0,00E+00;1,08E-02;2,29E-01;1,00E+00;9,39E-01;1,58E-06;1,20E-06
M1C;6;345;0,00E+00;1,95E-02;9,67E-01;1,00E+00;4,03E-01;9,43E-01;1,68E-06;1,18E-06
M1A;5;330;0,00E+00;1,40E-01;7,74E-01;1,00E+00;5,40E-01;3,73E-01;1,34E-06;7,61E-07
M1A;8;150;1,00E+00;9,98E-01;9,15E-01;0,00E+00;8,40E-02;8,21E-01;2,16E-06;9,98E-07
M1A;4;90;9,96E-01;7,27E-01;0,00E+00;3,31E-02;7,97E-01;1,00E+00;1,34E-06;7,31E-07
M1A;3;60;9,81E-01;9,92E-01;0,00E+00;3,92E-01;9,94E-01;1,00E+00;8,68E-07;4,27E-07
M1C;8;255;1,54E-01;1,00E+00;9,98E-01;9,82E-01;9,63E-01;0,00E+00;2,41E-06;9,16E-07
M1E;4;255;9,82E-02;9,52E-01;1,00E+00;9,78E-01;9,61E-01;0,00E+00;1,40E-06;8,70E-07
M1E;20;300;0,00E+00;6,43E-01;6,99E-01;6,32E-01;8,18E-01;1,00E+00;8,66E-07;1,94E-07
M1E;7;135;9,57E-01;1,00E+00;3,28E-01;0,00E+00;5,09E-02;9,37E-01;1,80E-06;1,19E-06
M1C;9;195;9,70E-01;7,13E-01;9,94E-01;1,00E+00;0,00E+00;1,27E-03;2,15E-06;1,26E-06
M1E;7;330;0,00E+00;1,26E-01;9,73E-01;9,54E-01;1,00E+00;4,05E-01;1,87E-06;1,18E-06
M1E;7;210;4,54E-01;1,00E+00;9,66E-01;9,87E-01;1,23E-01;0,00E+00;1,87E-06;1,16E-06
M1C;15;345;0,00E+00;3,07E-02;1,00E+00;9,42E-01;4,33E-01;9,30E-01;1,35E-06;6,96E-07
M1E;9;300;0,00E+00;4,49E-01;9,98E-01;9,85E-01;1,00E+00;8,76E-01;2,41E-06;1,03E-06
M1A;8;15;9,90E-01;0,00E+00;1,74E-01;3,63E-01;1,00E+00;9,75E-01;2,02E-06;1,09E-06
M1C;9;60;9,37E-01;8,59E-01;0,00E+00;3,80E-01;9,68E-01;1,00E+00;2,40E-06;9,20E-07
M1C;15;120;9,23E-01;9,15E-01;3,70E-01;0,00E+00;8,39E-01;1,00E+00;1,58E-06;4,28E-07
M1E;9;360;1,84E-01;0,00E+00;6,29E-01;8,81E-01;3,99E-01;1,00E+00;1,71E-06;1,07E-06
M1A;15;255;2,57E-01;8,23E-01;7,77E-01;7,68E-01;1,00E+00;0,00E+00;1,68E-06;3,52E-07
M1C;5;240;2,89E-01;9,90E-01;1,00E+00;9,56E-01;8,66E-01;0,00E+00;1,84E-06;8,57E-07
M1E;7;240;1,00E+00;9,76E-01;9,79E-01;9,53E-01;4,43E-01;0,00E+00;2,26E-06;1,02E-06
M1E;9;45;9,67E-01;4,85E-02;0,00E+00;6,80E-01;1,00E+00;9,73E-01;2,13E-06;1,21E-06
M1A;10;75;9,80E-01;9,68E-01;0,00E+00;2,33E-01;9,53E-01;1,00E+00;2,51E-06;8,45E-07
M1C;4;90;1,00E+00;7,72E-01;0,00E+00;4,80E-03;7,29E-01;1,00E+00;1,30E-06;7,77E-07
M1C;4;225;1,99E-01;3,71E-01;1,00E+00;9,35E-01;2,49E-01;0,00E+00;1,00E-06;7,43E-07
M1C;15;135;9,08E-01;9,00E-01;6,05E-01;0,00E+00;3,07E-01;1,00E+00;1,47E-06;4,65E-07
M1E;5;225;3,40E-01;1,00E+00;9,75E-01;9,63E-01;1,77E-01;0,00E+00;1,51E-06;1,03E-06
M1E;9;315;0,00E+00;2,50E-01;9,86E-01;9,78E-01;1,00E+00;5,27E-01;2,11E-06;1,13E-06
M1C;4;120;1,00E+00;9,60E-01;1,41E-01;0,00E+00;6,19E-01;9,66E-01;1,32E-06;7,97E-07
M1C;3;120;1,00E+00;9,66E-01;1,17E-01;0,00E+00;6,04E-01;9,59E-01;7,37E-07;4,69E-07
M1A;10;165;9,88E-01;9,86E-01;8,59E-01;1,95E-02;0,00E+00;1,00E+00;2,34E-06;1,13E-06
M1C;4;60;9,65E-01;7,88E-01;0,00E+00;2,19E-01;9,77E-01;1,00E+00;1,39E-06;7,69E-07
M1E;10;300;0,00E+00;4,58E-01;9,82E-01;9,69E-01;1,00E+00;8,77E-01;2,44E-06;1,02E-06
M1C;8;360;1,71E-01;0,00E+00;7,81E-01;9,97E-01;8,02E-01;1,00E+00;2,01E-06;1,13E-06
M1A;9;30;8,39E-01;5,70E-02;0,00E+00;8,69E-01;1,00E+00;9,66E-01;2,29E-06;1,03E-06
M1A;3;360;1,89E-01;0,00E+00;9,33E-01;8,30E-01;1,00E+00;9,97E-01;7,75E-07;4,64E-07
M1A;4;345;1,44E-02;0,00E+00;9,68E-01;1,00E+00;2,93E-01;9,46E-01;1,16E-06;8,78E-07
M1C;15;315;0,00E+00;5,17E-01;9,82E-01;8,80E-01;1,00E+00;6,11E-01;1,60E-06;4,46E-07
M1E;20;195;8,00E-01;5,16E-01;8,87E-01;1,00E+00;0,00E+00;1,55E-02;7,62E-07;2,82E-07
M1A;9;135;1,00E+00;9,97E-01;5,63E-01;0,00E+00;2,70E-01;9,36E-01;2,27E-06;9,00E-07
M1A;9;270;3,03E-02;8,07E-01;1,00E+00;9,85E-01;8,39E-01;0,00E+00;2,40E-06;8,20E-07
M1E;5;270;9,58E-03;8,41E-01;1,00E+00;9,92E-01;8,38E-01;0,00E+00;1,62E-06;9,96E-07
M1E;9;165;9,58E-01;4,72E-01;1,00E+00;4,21E-02;0,00E+00;3,32E-01;1,66E-06;1,15E-06
M1C;15;105;8,19E-01;7,91E-01;1,90E-01;0,00E+00;1,00E+00;8,23E-01;1,64E-06;4,64E-07
M1E;20;315;0,00E+00;5,62E-01;1,00E+00;7,59E-01;9,81E-01;7,54E-01;8,00E-07;1,87E-07
M1C;6;105;1,00E+00;9,42E-01;1,11E-01;0,00E+00;9,85E-01;9,85E-01;2,07E-06;1,05E-06
M1E;15;270;2,21E-02;9,79E-01;9,54E-01;9,28E-01;1,00E+00;0,00E+00;1,50E-06;5,81E-07
M1C;4;300;0,00E+00;9,41E-01;9,97E-01;1,00E+00;9,91E-01;6,19E-01;1,60E-06;6,98E-07
M1E;6;255;1,55E-01;9,39E-01;1,00E+00;9,75E-01;9,83E-01;0,00E+00;2,02E-06;1,12E-06
M1A;10;30;8,31E-01;6,66E-02;0,00E+00;8,85E-01;1,00E+00;9,69E-01;2,32E-06;1,01E-06
M1E;4;165;1,00E+00;3,14E-01;9,99E-01;2,03E-02;0,00E+00;1,64E-01;8,61E-07;8,48E-07
M1A;7;150;1,00E+00;9,88E-01;9,23E-01;0,00E+00;7,05E-02;8,40E-01;2,08E-06;9,79E-07
M1A;3;195;9,42E-01;4,07E-01;1,00E+00;9,49E-01;0,00E+00;3,28E-02;6,71E-07;4,87E-07
M1A;6;75;9,75E-01;9,42E-01;0,00E+00;1,81E-01;9,45E-01;1,00E+00;2,13E-06;9,23E-07
M1A;5;255;1,63E-01;9,03E-01;1,00E+00;9,59E-01;9,72E-01;0,00E+00;1,83E-06;8,24E-07
M1A;4;270;8,99E-03;7,69E-01;1,00E+00;9,94E-01;8,02E-01;0,00E+00;1,35E-06;7,28E-07
